,Sugar,Ginger,Milk 3 Fat,TEA POWDER,Green Elaichi,Eggs,Maida,Salt Tata,Refind Oil,Atta,Clams,Mango Pulp,Curd Mother Dairy,Onion,Cucumber,Green Chilly,Beetroots,Jeera Powder,Potato,Cauliflower,Peel Garlic,Garam Masala,Ghee Nandani,Haldi Powder,Kasuri Methi,Kitchen King,Coriander Leaves,Rai,BASMATI RICE,Amul Cream,Chat Masala,Jeera Whole,Methi (w),Coconut Milk Powder,Lemon,Boondi,Jal Jeera,Kokum,Banana Leaf,Coconut Big,Dhaniya Whole,Bedki Chilli Dry,Chicken Breast Bonless,Capsicum,Badi Sunf,Dry Ginger,Kashmiri Chilli,Cinnamon (dalchini),Carrots,GREEN PEAS,FRESH BEANS,Malai Paneer,Laung,Javantry,Star Fool,Tej Patta,Kaju Tukda,Rose Water,Kewra Water,Basmati Rice,Mint Leaves,Chicken Masala,Sesame Oil,Soya Sauce LLK,Aromatic Powder,Veg Oyester Sauce,Chicken Leg Bonless,Coconut Oil,Strawberry Ice Cream,Besan,Broccoli,Asparagus,Baby Corn,Corn Flour,Green Zucchini,Tomato Ketchup,Bell Pepper Red,Water Chestnuts,Bell Papper Yellow,White Pepper Powder,Butter Amul,POHA,Appam Rice,Eno Regular,American Corn,Capsico Sauce,Fresh Red Chilly,Black Pepper Whole,Toor Dal,Pista,ALMOND,Fresh Milk (tabela),MAIDA,Jaiphal,CORN FLOUR,ROSE WATER,White Vinegar,Ajwain,Malai Kulfi,Mango Slice Kulfi,Papad big,Kabuli Chana,Bread Slice,CELERY LEAVES,CHANA DAL,Cheese Amul,Veg Mayonnaise,Iceberg Lettuce,Fresh Cream,BABY CORN,Cabbage,Dijon Mustard,Pineapple Fruit,Rawas Fish,Sev,Papdi,Mutton Big Raan,COCONUT DRY,Methi Fresh,Pok Choy,Potato Starch,Fresh Mushroom,Honey,Chana Dal,Rajma Chitra,Tomato Puree,Black Urad Whole,RAI,Celery Leaves,Kaju Whole,Medium Prawns,Green Curry Paste,Green Peas,Fresh Beans,Hoisin Sauce,Surmay Fish,MOONG DAL,Curd,APPLE,PAPAYA,8 To 9 Sauce,Kashmiri Chilli Powder,BELL PAPPER YELLOW,Bhavnagri Chilly,Yellow Chilli Powder,Peri Peri Masala,Fresh Basil,Shiitake Mushroom,Crab Meat,Sevai,Wonton Patta,Hing Powder,Shao Hsing Vinegar,Pomfret,Millennium Kulfi,RICE ATTA,Gulab Badam Slice Kulfi,Kesar Pista Kulfi,Kalonji,AMERICAN CORN,Papad Big,Vanilla Md Ice Cream,Baby Potato,Baby corn,Karela,Indian Chives,Squid,Prawns Frozen 70/80,Bread Crumbs Penko,Kikkoman Soya,Bbq Sauce,Black Pepper Powder,Lady Finger,Aalu Bukhara (plum),Chocolate Ice Cream,Imli,Lemon Grass,Tom Yum Cube,Green Corn,Sweet Corn Cream,PINEAPPLE FRUIT,Roasted Almond Slice Kulfi,METHI FRESH,Apple,Bean Sprouts,Green Peppercorn,Baking Powder,Butter Scotch Ice Cream,Tofu,Glass Noodles,Frut Overload Ice Cream,Bombil,Maggi Seasoning Sauce,Kafir Lemon Leaves,Madras Curry Powder,Chinese Cabbage,Moong Dal,Olive Oil,Plum Sauce,Mustard Kasundi 1000gm,Worcestershire Sauce Kalvert (bar),Makai Atta,Black Till,Black Fungus,Black Beans Seed,Sambal Oleal Sauce,Crab Whole Big,Green Olive Slice,Lemon Leaves,maida,sugar,atta,curd,coriander leaves,ghee,bajra,rice atta,jeera powder,cucumber,olive oil,american corn,cherry tomato,risotto rice,ginger,cauliflower,kitchen king,rai,onion,toor dal,moong whole,sev,chat masala,milk,besan,mint leaves,green chilly,garlic powder,iceberg lettuce,potato,mawa,black dal,chana dal,ajwain,green peas,boondi,capsicum,sama rice,kabuli chana,baby corn,mustard oil,lemon,sabudana,coconut milk,garam masala,lapsi,kasuri methi,tomato ketchup,baked beans,baby potato,khichiya papad,almond,amul cream,orange,feta cheese,lady finger,honey,keel patta,white pepper powder,lemon grass,lemon leaves,coconut milk powder,Green Garlic,Wasabi Tube,Bamboo Shoots,AJWAIN
2023-07-01,1017.0,109.0,370.0,10.0,32.0,491.0,4016.0,995.0,1281.0,3150.0,0.0,0.0,733.0,630.0,30.0,626.0,0.0,30.0,755.0,940.0,2178.0,209.0,1552.0,244.0,116.0,204.0,667.0,0.0,0.0,3500.0,530.0,269.0,0.0,1232.0,43.0,10.0,20.0,0.0,0.0,60.0,15.0,5.0,1250.0,2815.0,0.0,0.0,12.0,10.0,990.0,820.0,1640.0,14375.0,8.0,0.0,14.0,2.0,304.0,10.0,10.0,2000.0,76.0,24.0,0.0,387.0,98.0,135.0,5240.0,0.0,0.0,150.0,230.0,70.0,140.0,527.0,130.0,315.0,515.0,20.0,515.0,24.0,777.0,0.0,500.0,5.0,2470.0,24.0,198.0,77.0,1200.0,15.0,6.0,405.0,15.0,3.0,117.5,15.5,15.0,0.0,1.0,0.0,110.0,1000.0,818.0,16.0,0.0,0.0,75.0,100.0,0.0,200.0,150.0,0.0,10.0,0.0,0.0,0.0,1200.0,0.0,600.0,180.0,34.0,1080.0,0.0,350.0,350.0,700.0,1050.0,0.0,10.0,40.0,0.0,0.0,202.0,70.0,0.0,0.0,43.0,0.0,100.0,80.0,0.0,0.0,300.0,300.0,0.0,0.0,70.0,75.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,900.0,2.0,0.0,0.0,200.0,15.0,0.0,5.0,600.0,40.0,0.0,0.0,0.0,0.0,40.0,30.0,20.0,0.0,40.0,0.0,30.0,4.0,1.0,0.0,60.0,30.0,120.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,0.41300000000000003,2.8400000000000003,5.4,0.374,3.395,1.0499999999999998,0.15,0.332,0.6,0.268,0.012,0.2,0.22,0.088,1.1560000000000001,0.292,0.019,1.8840000000000001,1.5,0.0,0.2,0.134,1.2000000000000002,0.03,0.004,0.008,0.01,0.1,0.345,0.61,0.5,0.25,0.0,2.112,0.15000000000000002,0.974,0.0,0.8,0.035,0.15,0.128,0.0,0.0,0.018000000000000002,0.0,0.07200000000000001,0.02,0.02,0.5,0.084,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.3,0.02,0.6,0.0,0.0,0.0,0.0
2023-07-02,1354.0,195.0,690.0,0.0,36.0,798.0,7377.0,1720.0,2040.0,4300.0,0.0,0.0,1099.0,1405.0,130.0,1090.0,100.0,30.0,1605.0,1930.0,4039.0,377.0,2502.0,404.0,202.0,372.0,1046.0,0.0,0.0,5120.0,924.0,527.0,5.0,1406.0,166.0,0.0,0.0,0.0,0.0,50.0,15.0,15.0,4850.0,3215.0,0.0,0.0,67.0,6.0,1635.0,1200.0,2230.0,20365.0,6.0,0.0,18.0,0.0,578.0,10.0,0.0,5400.0,46.0,32.0,4.0,740.0,178.0,315.0,10670.0,0.0,0.0,150.0,750.0,130.0,600.0,789.0,300.0,590.0,920.0,200.0,920.0,54.0,1284.0,0.0,600.0,10.0,2030.0,32.0,323.0,106.0,1350.0,14.0,12.0,1130.0,10.0,2.0,315.0,17.0,15.0,0.0,8.0,0.0,180.0,500.0,1812.0,12.0,0.0,540.0,0.0,0.0,0.0,600.0,350.0,0.0,0.0,0.0,10.0,10.0,1100.0,50.0,1040.0,320.0,78.0,2475.0,15.0,800.0,800.0,1600.0,2400.0,0.0,50.0,64.0,0.0,0.0,452.0,150.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,330.0,135.0,0.0,20.0,90.0,2.0,6.0,0.0,1.0,50.0,0.0,3.0,6.0,0.0,0.0,120.0,2000.0,0.0,0.0,0.0,0.0,0.0,500.0,30.0,0.0,0.0,600.0,40.0,0.0,0.0,0.0,0.0,200.0,150.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,0.0,120.0,40.0,0.0,0.0,4.0,0.0,2.0,150.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,0.0,90.0,0.0,0.0,0.0,2.39,0.37,2.2600000000000002,3.45,0.232,2.6750000000000003,0.0,0.44999999999999996,0.275,0.3,0.28,0.0,0.01,0.22,0.067,0.196,0.258,0.014,1.234,1.85,0.0,0.1,0.146,0.26,0.09,0.012,0.016,0.03,0.07,0.05,0.11,0.1,0.05,0.32,0.752,0.0,0.214,0.0,0.85,0.021,0.23,0.094,0.0,0.0,0.008,0.0,0.068,0.01,0.0,0.5,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.06,0.004,0.12,0.0,0.0,0.0,0.0
2023-07-03,313.0,41.0,225.0,0.0,6.0,370.0,2975.0,477.0,601.0,575.0,0.0,0.0,274.0,470.0,70.0,316.0,50.0,10.0,335.0,310.0,964.0,108.0,700.0,125.0,58.0,108.0,264.0,0.0,0.0,1960.0,236.0,101.0,0.0,754.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,830.0,890.0,0.0,0.0,16.0,2.0,440.0,320.0,520.0,6505.0,0.0,0.0,2.0,2.0,150.0,10.0,10.0,900.0,11.0,8.0,2.0,101.0,40.0,135.0,2520.0,0.0,0.0,150.0,315.0,60.0,255.0,190.0,175.0,175.0,215.0,120.0,215.0,13.0,354.0,0.0,300.0,0.0,920.0,6.0,50.0,4.0,600.0,0.0,0.0,430.0,0.0,0.0,100.0,5.0,2.5,0.0,1.0,0.0,80.0,0.0,200.0,0.0,0.0,70.0,0.0,0.0,50.0,100.0,170.0,0.0,0.0,0.0,10.0,10.0,1120.0,50.0,200.0,145.0,14.0,750.0,0.0,200.0,200.0,400.0,600.0,0.0,20.0,20.0,0.0,0.0,62.0,120.0,0.0,0.0,0.0,0.0,100.0,80.0,0.0,0.0,100.0,0.0,0.0,0.0,30.0,25.0,0.0,20.0,90.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,200.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,0.94,0.014,0.4,1.5,0.11,0.895,0.35,0.15,0.081,0.3,0.084,0.006,0.1,0.0,0.025,0.1,0.062,0.006,0.302,0.55,0.0,0.0,0.018000000000000002,0.8,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.092,0.0,0.0,0.014,0.04,0.0,0.0,0.07,0.006,0.0,0.014,0.0,0.0,0.0,0.006,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.004,0.12,0.0,0.0,0.0,0.0
2023-07-04,463.0,76.0,235.0,0.0,6.0,425.0,2935.0,649.0,841.0,1500.0,600.0,0.0,301.0,625.0,60.0,449.0,50.0,10.0,835.0,590.0,1373.0,145.0,962.0,172.0,90.0,144.0,421.0,0.0,0.0,2500.0,401.0,204.0,0.0,520.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1770.0,0.0,0.0,15.0,2.0,730.0,620.0,990.0,9005.0,2.0,2.0,10.0,2.0,304.0,12.0,10.0,3700.0,7.0,20.0,0.0,218.0,60.0,200.0,2760.0,0.0,0.0,50.0,370.0,100.0,190.0,290.0,280.0,210.0,435.0,40.0,435.0,19.0,612.0,0.0,0.0,0.0,1030.0,12.0,87.0,6.0,3000.0,7.0,6.0,135.0,5.0,1.0,52.5,10.5,5.0,0.0,1.0,0.0,40.0,500.0,801.0,0.0,0.0,255.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,40.0,0.0,0.0,540.0,50.0,400.0,220.0,16.0,385.0,0.0,400.0,400.0,800.0,1200.0,0.0,0.0,24.0,0.0,0.0,250.0,10.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,250.0,100.0,0.0,40.0,62.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,30.0,0.0,0.0,600.0,0.0,0.0,0.0,2.0,10.0,10.0,100.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.16,0.24000000000000002,2.71,0.099,1.81,0.0,0.15,0.182,0.3,0.184,0.006,0.13,0.0,0.08900000000000001,0.116,0.188,0.015,1.121,1.15,0.0,0.0,0.116,0.8,0.03,0.004,0.008,0.01,0.4,0.05,0.02,0.0,0.0,0.0,0.512,0.0,0.206,0.0,0.4,0.0,0.19,0.12,0.0,0.0,0.002,0.2,0.038,0.0,0.0,0.5,0.012,0.024,0.2,0.0,0.0,0.0,0.0,0.0,0.006,0.24,0.016,0.48,0.0,0.0,0.0,0.0
2023-07-05,1438.0,71.0,270.0,0.0,17.05,370.0,3206.0,658.0,888.0,1500.0,0.0,0.0,213.0,830.0,80.0,417.0,50.0,0.0,865.0,670.0,1439.0,141.0,942.0,160.0,78.0,136.0,455.0,0.0,0.0,2140.0,366.0,154.0,5.0,270.0,72.0,0.0,0.0,0.0,0.5,50.0,5.0,15.0,1850.0,1900.0,0.0,0.0,16.0,4.0,490.0,400.0,370.0,8835.0,4.0,2.0,6.0,2.0,156.0,12.0,10.0,1500.0,11.0,20.0,0.0,239.0,58.0,120.0,3920.0,0.0,0.0,150.0,400.0,80.0,280.0,400.0,220.0,235.0,280.0,140.0,280.0,25.0,555.0,0.0,600.0,0.0,730.0,12.0,99.0,6.0,1800.0,21.0,10.0,2410.0,20.0,4.0,70.0,20.0,30.0,0.0,6.0,0.0,80.0,0.0,205.0,4.0,0.0,355.0,150.0,300.0,50.0,200.0,150.0,0.0,0.0,500.0,0.0,0.0,560.0,0.0,450.0,170.0,34.0,1410.0,0.0,300.0,300.0,600.0,900.0,0.0,30.0,24.0,100.0,0.0,62.0,160.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,250.0,200.0,600.0,0.0,94.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,15.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,120.0,90.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,20.0,10.0,120.0,0.0,0.0,2.0,4.0,120.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,80.0,0.0,0.0,0.0,1.3599999999999999,0.068,0.9800000000000001,2.06,0.175,0.8250000000000001,0.35,0.0,0.098,0.0,0.18,0.04,0.0,0.0,0.10500000000000001,0.33,0.11599999999999999,0.003,0.926,0.5,0.0,0.0,0.054,1.2000000000000002,0.0,0.0,0.0,0.0,1.06,0.08,0.0,0.0,0.0,0.0,0.49,0.15000000000000002,0.356,0.0,0.9500000000000001,0.021,0.07,0.12,0.0,0.0,0.012,0.2,0.02,0.0,0.02,0.0,0.03,0.036000000000000004,0.04,0.0,0.0,0.0,0.0,0.0,0.012,0.12,0.008,0.24,0.0,0.0,0.0,0.0
2023-07-06,1055.0,54.0,330.0,0.0,15.0,497.0,4166.0,745.0,912.0,1600.0,0.0,0.0,593.0,465.0,10.0,500.0,50.0,80.0,405.0,570.0,1626.0,172.0,1380.0,195.0,94.0,172.0,438.0,0.0,0.0,3440.0,390.0,196.0,0.0,658.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,1920.0,0.0,0.0,46.0,4.0,610.0,500.0,970.0,9055.0,4.0,2.0,6.0,2.0,104.0,10.0,10.0,1100.0,32.0,20.0,0.0,281.0,58.0,55.0,4020.0,0.0,0.0,50.0,130.0,10.0,130.0,335.0,20.0,130.0,285.0,40.0,285.0,16.0,718.0,0.0,200.0,5.0,1250.0,16.0,134.0,12.0,600.0,11.0,6.0,1560.0,10.0,2.0,105.0,14.0,17.5,0.0,5.0,0.0,30.0,500.0,204.0,4.0,0.0,310.0,0.0,0.0,0.0,200.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,20.0,20.0,770.0,0.0,500.0,500.0,1000.0,1500.0,0.0,10.0,20.0,0.0,0.0,100.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,2.0,200.0,0.0,0.0,0.0,115.0,20.0,0.0,40.0,180.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,6.0,0.0,0.0,120.0,1000.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.72,0.08399999999999999,0.54,3.71,0.085,1.7850000000000001,0.0,0.6,0.257,0.6,0.0,0.04,0.0,0.0,0.109,0.6,0.254,0.002,0.46199999999999997,0.55,0.0,0.1,0.054,2.0,0.0,0.0,0.0,0.0,0.16,0.08,0.0,0.1,0.05,0.0,0.89,0.0,0.17200000000000001,0.0,0.0,0.014,0.29,0.12,0.0,0.0,0.004,0.0,0.034,0.01,0.02,0.0,0.018000000000000002,0.06,0.2,0.0,0.02,0.0,0.0,0.0,0.018000000000000002,0.06,0.004,0.12,0.0,0.0,0.0,0.0
2023-07-07,1184.0,83.0,230.0,0.0,32.05,369.0,2912.0,824.0,1006.0,1950.0,0.0,100.0,800.0,825.0,100.0,478.0,50.0,0.0,810.0,760.0,1787.0,150.0,1144.0,183.0,88.0,140.0,537.0,0.0,0.0,2194.0,359.0,238.0,5.0,512.0,156.0,0.0,0.0,102.0,0.0,110.0,20.0,10.0,1600.0,2650.0,0.0,0.0,11.0,18.0,1000.0,800.0,1330.0,9310.0,16.0,0.0,2.0,2.0,255.0,12.0,10.0,4500.0,66.0,4.0,2.0,226.0,66.0,55.0,3580.0,0.0,0.0,150.0,175.0,40.0,145.0,184.0,100.0,215.0,345.0,100.0,345.0,14.0,518.0,0.0,700.0,5.0,900.0,12.0,108.0,44.0,3000.0,17.0,10.0,1135.0,15.0,3.0,167.5,16.5,67.5,0.0,5.0,0.0,50.0,0.0,632.0,32.0,0.0,50.0,50.0,100.0,50.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,50.0,200.0,90.0,18.0,960.0,10.0,200.0,200.0,400.0,600.0,0.0,10.0,0.0,0.0,0.0,160.0,50.0,0.0,0.0,0.0,0.0,100.0,80.0,0.0,0.0,50.0,200.0,0.0,0.0,80.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,120.0,1000.0,0.0,0.0,2.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.0,4.0,1.0,120.0,0.0,0.0,120.0,0.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.1199999999999999,0.122,0.78,2.49,0.178,1.6400000000000001,0.0,0.15,0.166,0.0,0.2,0.08,0.0,0.0,0.034,0.38,0.109,0.008,0.638,0.95,0.0,0.16,0.056,0.81,0.06,0.008,0.008,0.02,0.12,0.04,0.1,0.30000000000000004,0.15000000000000002,0.16,0.76,0.1,0.168,0.0,0.4,0.0,0.06999999999999999,0.06,0.0,0.0,0.013000000000000001,0.0,0.042,0.01,0.02,0.5,0.006,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-08,2440.0,138.0,820.0,10.0,32.0,444.0,4544.0,1105.0,1366.0,3275.0,0.0,100.0,910.0,1475.0,50.0,660.0,0.0,10.0,435.0,1000.0,2530.0,209.0,1564.0,257.0,126.0,208.0,767.0,0.0,0.0,3550.0,591.0,359.0,5.0,1440.0,103.0,30.0,60.0,0.0,0.0,50.0,15.0,15.0,2800.0,3850.0,0.0,0.0,61.0,10.0,1230.0,1300.0,2060.0,12675.0,10.0,0.0,10.0,0.0,254.0,10.0,0.0,4900.0,16.0,20.0,0.0,309.0,106.0,205.0,4900.0,0.0,0.0,150.0,600.0,100.0,400.0,495.0,240.0,425.0,630.0,120.0,630.0,34.0,1049.0,10.0,700.0,10.0,2470.0,24.0,192.0,50.0,1800.0,23.0,6.0,4115.0,25.0,5.0,12.5,27.5,95.0,5.0,8.0,0.0,160.0,500.0,819.0,16.0,0.0,930.0,200.0,100.0,0.0,500.0,250.0,10.0,10.0,0.0,10.0,10.0,1760.0,0.0,700.0,190.0,36.0,1500.0,10.0,500.0,500.0,1040.0,1500.0,1.0,70.0,44.0,0.0,0.0,202.0,70.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,135.0,60.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,120.0,500.0,0.0,900.0,0.0,0.0,0.0,0.0,15.0,25.0,10.0,0.0,40.0,240.0,0.0,0.0,0.0,40.0,30.0,0.0,1.0,0.0,100.0,50.0,0.0,1.0,0.0,40.0,20.0,0.0,0.0,2.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,2.66,0.17,1.1800000000000002,4.05,0.155,1.83,0.0,0.15,0.27,0.0,0.26,0.04,0.0,0.88,0.049,0.125,0.267,0.004,0.5660000000000001,0.25,0.0,0.23,0.11,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.2,0.2,0.1,0.0,0.875,0.0,0.416,0.0,1.2000000000000002,0.021,0.24,0.244,0.0,0.0,0.014,0.0,0.07200000000000001,0.02,0.0,0.0,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.42,0.028,0.84,0.0,0.0,0.0,0.0
2023-07-09,1693.0,152.0,635.0,0.0,51.0,792.0,6419.0,1470.0,1740.0,3875.0,0.0,100.0,1277.0,1160.0,260.0,975.0,150.0,80.0,1435.0,1070.0,3080.0,312.0,2416.0,367.0,180.0,320.0,982.0,0.0,0.0,3770.0,781.0,425.0,0.0,1166.0,268.0,0.0,0.0,204.0,0.0,0.0,5.0,5.0,2380.0,3810.0,0.0,0.0,56.0,14.0,1400.0,1700.0,1980.0,17325.0,14.0,4.0,15.0,4.0,490.0,38.0,20.0,5300.0,17.0,12.0,12.0,303.0,104.0,155.0,14340.0,0.0,0.0,50.0,600.0,50.0,520.0,545.0,195.0,505.0,340.0,60.0,340.0,37.0,977.0,10.0,500.0,10.0,1920.0,14.0,178.0,116.0,1800.0,24.0,24.0,1265.0,15.0,3.0,117.5,22.5,20.0,0.0,6.0,1.0,140.0,0.0,1618.0,16.0,0.0,850.0,200.0,400.0,50.0,800.0,900.0,0.0,0.0,540.0,10.0,10.0,2220.0,100.0,410.0,125.0,47.0,1340.0,0.0,350.0,350.0,740.0,1050.0,0.0,30.0,84.0,100.0,0.0,462.0,230.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,150.0,300.0,600.0,0.0,90.0,65.0,10.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,120.0,1000.0,0.0,0.0,0.0,100.0,30.0,200.0,90.0,0.0,0.0,600.0,80.0,240.0,10.0,20.0,0.0,250.0,280.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,5.28,0.452,3.2800000000000002,6.38,0.438,3.025,0.35,0.44999999999999996,0.40399999999999997,0.0,0.58,0.04,0.0,0.22,0.125,0.63,0.363,0.027,2.016,1.85,0.0,0.2,0.076,1.25,0.16,0.008,0.008,0.02,0.27,0.255,0.25,0.2,0.1,0.16,1.33,0.1,0.796,0.0,2.0,0.035,0.3,0.45399999999999996,0.0,0.14,0.033,0.2,0.052000000000000005,0.02,0.04,0.0,0.06,0.024,0.2,0.0,0.0,0.6,0.0,0.0,0.012,0.18,0.012,0.36,0.0,0.0,0.0,0.0
2023-07-10,389.0,41.0,270.0,0.0,6.0,220.0,2475.0,529.0,603.0,1375.0,0.0,0.0,298.0,350.0,40.0,313.0,0.0,0.0,185.0,460.0,1277.0,104.0,636.0,128.0,64.0,104.0,307.0,0.0,0.0,1250.0,251.0,112.0,0.0,452.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,1975.0,0.0,0.0,2.0,0.0,535.0,400.0,760.0,8055.0,0.0,0.0,0.0,0.0,300.0,2.0,0.0,0.0,0.0,4.0,4.0,257.0,52.0,55.0,4560.0,0.0,0.0,0.0,325.0,10.0,445.0,287.0,30.0,40.0,360.0,140.0,360.0,13.0,272.0,0.0,200.0,0.0,0.0,4.0,166.0,25.0,0.0,0.0,0.0,860.0,0.0,0.0,100.0,2.0,5.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,50.0,200.0,20.0,0.0,0.0,0.0,0.0,0.0,1640.0,0.0,200.0,0.0,16.0,330.0,0.0,50.0,50.0,100.0,150.0,0.0,70.0,0.0,0.0,0.0,10.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,40.0,37.0,0.0,0.0,20.0,90.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,900.0,0.0,0.0,60.0,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,1.44,0.28200000000000003,0.8800000000000001,1.47,0.1,0.5800000000000001,0.0,0.0,0.10099999999999999,0.602,0.0,0.0,0.0,0.0,0.02,0.02,0.092,0.009000000000000001,0.35800000000000004,0.3,0.0,0.03,0.036000000000000004,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.138,0.0,0.0,0.014,0.07,0.03,0.0,0.0,0.011,0.0,0.014,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
